数据条目, 资源分类, 关键字, 国家分类, 部门分类, 时间, 提供单位, 提供地址
国家级新型工业化产业示范基地, 经济建设, 国家级、新型工业化产业、示范基地, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
年度物联网应用示范工程奖, 经济建设, 物联网应用示范工程奖, 信息产业综合类, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
信息服务业产业基地, 经济建设, 基地全称、界域、运营管理机构及联系方式、主要领域类别, 信息产业综合类, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
工业投资信息, 经济建设, 工业投资总量、增速、制造业、水电气供应业、各种所有制类型、重点行业投资总量、增速, 工业, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
重点行业环境整治信息, 资源环境, 环境整治, 环境保护、治理, 业务类, 2015-11-19, 上海市环境保护局, 三江路55号
创意产业集聚区, 经济建设, 集聚区名称、地址、主导产业、概况、入驻企业、服务平台、联系方式, 工业, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
&ldquo;i-Shanghai&ldquo;免费网络, 民生服务, 行政区划、场所名称、场所地址、覆盖范围、场所类型, 网络, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
计算机信息系统集成资质企业, 经济建设, 企业名称、资质证书编号、批准备案日期、首次获证日期、资质等级、所属省市, 信息产业综合类, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
软件和信息服务业机构, 经济建设, 机构名称、地址、网址、电话、传真、简介, 信息产业综合类, 业务类, 2015-02-25, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
信息安全服务机构推荐名单, 机构团体, 机构名称、地址、联系电话, 信息产业综合类, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
电子政务领域国产信息安全产品使用排名, 公共安全, 产品类型、产商名称、应用数量, 信息产业综合类, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
集成电路设计企业, 经济建设, 企业名称、地址、主要产品、联系电话, 信息产业综合类, 业务类, 2014-11-07, 上海市经济和信息化委员会, 上海市世博村路300号5号楼
上海工业云创新服务试点企业, 经济建设, 上海、工业云、创新服务、试点, 信息产业综合类, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
节能技改领域专项资金分配结果, 经济建设, 2014、节能技改、专项资金、分配, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
合同能源管理领域专项资金分配结果, 经济建设, 2014、合同能源管理、专项资金, 工业, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
市经济信息化委行政审批事项, 经济建设, 审批事项、依据、处室、期限, 经济管理, 业务类, 2015-10-27, 上海市经济和信息化委员会, 世博村路300号5号楼
优秀历史建筑信息, 城市建设, 优秀历史建筑, 房地产, 业务类, 2015-11-18, 上海市住房保障和房屋管理局, 世博村路300号
居住小区信息, 城市建设, 居住小区, 房地产, 业务类, 2015-11-18, 上海市住房保障和房屋管理局, 世博村路300号
物业管理专业人员信息, 城市建设, 物业管理专业人员, 房地产, 业务类, 2015-11-17, 上海市住房保障和房屋管理局, 世博村路300号
注册房地产估价师, 城市建设, 注册房地产估价师, 房地产, 业务类, 2015-11-17, 上海市住房保障和房屋管理局, 世博村路300号
住房公积金信息, 城市建设, 住房公积金, 城乡建设, 业务类, 2015-10-30, 上海市城乡建设和管理委员会, 金陵东路569号
售后公房维修资金信息, 城市建设, 维修资金, 城乡建设, 业务类, 2015-10-30, 上海市城乡建设和管理委员会, 金陵东路569号
欠缴税款纳税人名单, 经济建设, 纳税人基础信息，欠税信息, 税务, 业务类, 2015-11-02, 上海市地方税务局, 肇嘉浜路800号
建筑业受理服务部门信息, 城市建设, 建筑业受理服务部门, 城乡建设, 机构职能, 2015-11-04, 上海市城乡建设和管理委员会, 上海市黄浦区大沽路100号
固定形式印刷品广告登记证, 经济建设, 固定形式印刷品，广告，登记证, 工商, 业务类, 2015-11-16, 上海市工商行政管理局, 上海市肇嘉浜路301号
经营异常企业信息, 经济建设, 工商，经营异常企业, 工商, 业务类, 2015-11-16, 上海市工商行政管理局, 上海市肇嘉浜路301号
执业经纪人信息, 经济建设, 工商，执业经纪人, 工商, 业务类, 2015-11-16, 上海市工商行政管理局, 上海市肇嘉浜路301号
